Event,Elevation [m],Longitude,Latitude,Depth water [m],Symbiosis,Spinose,export_n_m2_d,export_mmolC_m2_d,prop
JAM-3,-2460,108.1417,-8.2683,600,Undetermined,Undetermined,1.9285714285714284,1.358035714285714e-4,0.004594180704441041
JAM-3,-2460,108.1417,-8.2683,600,Yes,No,133.14285714285714,0.00937547619047619,0.3171686234473371
JAM-3,-2460,108.1417,-8.2683,600,Yes,Yes,147,0.01035125,0.3501786625829505
JAM-3,-2460,108.1417,-8.2683,600,NA,NA,1.5714285714285714,1.106547619047619e-4,0.0037434064999149227
LP1_trap,-4327,-17.9543,29.7622,900,No,No,1.4277777777777778,1.0053935185185185e-4,0.13921993499458288
LP1_trap,-4327,-17.9543,29.7622,900,No,Yes,0.15555555555555556,1.0953703703703703e-5,0.015167930660888406
LP1_trap,-4327,-17.9543,29.7622,900,Undetermined,Undetermined,0,0,0
LP1_trap,-4327,-17.9543,29.7622,900,Yes,No,0,0,0
LP1_trap,-4327,-17.9543,29.7622,900,Yes,Yes,8.672222222222222,6.106689814814815e-4,0.8456121343445286
LP1_trap,-4327,-17.9543,29.7622,900,NA,NA,0,0,0
MIR97_40N-1_trap,-5476,165,40,2986,No,No,204.6086956521739,0.01440786231884058,0.42561273401465133
MIR97_40N-1_trap,-5476,165,40,2986,No,Yes,107.78260869565216,0.007589692028985506,0.22420186307316628
MIR97_40N-1_trap,-5476,165,40,2986,Undetermined,Undetermined,0,0,0
MIR97_40N-1_trap,-5476,165,40,2986,Yes,No,0,0,0
MIR97_40N-1_trap,-5476,165,40,2986,Yes,Yes,168.34782608695653,0.01185449275362319,0.3501854029121823
MIR97_40N-1_trap,-5476,165,40,2986,NA,NA,0,0,0
MIR97_50N-1_trap,-5546,165.01667,50.016667,3260,No,No,2689.157894736842,0.1893615350877193,0.8181192256576946
MIR97_50N-1_trap,-5546,165.01667,50.016667,3260,No,Yes,597.8421052631579,0.042098048245614035,0.18188077434230543
MIR97_50N-1_trap,-5546,165.01667,50.016667,3260,Undetermined,Undetermined,0,0,0
MIR97_50N-1_trap,-5546,165.01667,50.016667,3260,Yes,No,0,0,0
MIR97_50N-1_trap,-5546,165.01667,50.016667,3260,Yes,Yes,0,0,0
