Literature,Cruise/Station,Latitude,Longitude,Mesh size (µm),Test size (µm),Depth (m),Spinose,Symbiosis,abundance_m3,biomass_Frail_mmol_m3,biomass_Schiebel_mmol_m3,prop
"Bergami et al., 2009",AN98/O,-63.25,177.25,100,NA,130,No,Yes,14,3.729032955232166e-4,9.858333333333334e-4,0.05555555555555555
"Bergami et al., 2009",AN98/O,-63.25,177.25,100,NA,130,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN98/O,-63.25,177.25,100,NA,130,Yes,No,42,0.0011187098865696498,0.0029575,0.16666666666666666
"Bergami et al., 2009",AN98/O,-63.25,177.25,100,NA,130,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN98/O,-63.25,177.25,100,NA,130,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN99/B,-74,175,100,NA,150,No,No,50,0.0013317974840114878,0.0035208333333333333,1
"Bergami et al., 2009",AN99/B,-74,175,100,NA,150,No,Yes,0,0,0,0
"Bergami et al., 2009",AN99/B,-74,175,100,NA,150,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN99/B,-74,175,100,NA,150,Yes,No,0,0,0,0
"Bergami et al., 2009",AN99/B,-74,175,100,NA,150,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN99/B,-74,175,100,NA,150,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN99/O,-63.4,178.05,100,NA,75,No,No,112,0.0029832263641857326,0.007886666666666667,0.9655172413793104
"Bergami et al., 2009",AN99/O,-63.4,178.05,100,NA,75,No,Yes,0,0,0,0
"Bergami et al., 2009",AN99/O,-63.4,178.05,100,NA,75,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN99/O,-63.4,178.05,100,NA,75,Yes,No,4,1.0654379872091902e-4,2.8166666666666666e-4,0.034482758620689655
"Bergami et al., 2009",AN99/O,-63.4,178.05,100,NA,75,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN99/O,-63.4,178.05,100,NA,75,Yes,Yes,0,0,0,0
"Kuroyanagi and Kawahata, 2004",#6,38.21667,136.9333,63,NA,120,No,No,32.6,8.683319595754901e-4,0.0022955833333333335,0.9560117302052786
